"PIH",7.6228,7.4260,7.4500,N/A,N/A,N/A,45.40M
"TURN",1.61,1.61,1.59,N/A,N/A,4.00,49.76M
"FLWS",10.15,10.25,10.25,N/A,N/A,13.30,663.15M
"FCCY",17.15,17.20,17.15,N/A,N/A,13.00,137.66M
"SRCE",46.14,45.52,45.66,N/A,N/A,48.50,1.20B
"VNET",5.58,5.51,5.54,N/A,N/A,8.01,626.56M
"TWOU",42.99,41.99,42.05,N/A,N/A,51.00,2.04B
"JOBS",44.39,43.76,44.07,N/A,N/A,38.33,2.72B
"CAFD",13.21,13.18,13.25,N/A,N/A,13.89,370.88M
"EGHT",13.00,13.15,13.10,N/A,N/A,18.09,1.18B
"AVHI",16.55,16.30,16.40,N/A,N/A,18.00,371.40M
"SHLM",29.10,28.60,28.75,N/A,N/A,33.00,855.34M
"AAON",36.80,36.65,36.85,N/A,N/A,37.50,1.94B
"ABAX",47.84,47.18,47.27,N/A,N/A,47.20,1.08B
"ABEO",5.95,6.15,6.10,N/A,N/A,17.60,239.52M
"ABEOW",3.48,3.48,2.00,N/A,N/A,N/A,N/A
"ABIL",0.67,0.65,0.72,N/A,N/A,1.30,16.93M
"ABMD",135.80,134.43,134.50,N/A,N/A,150.00,5.92B
"AXAS",1.88,1.86,1.88,N/A,N/A,2.83,305.23M
"ACIU",9.06,8.88,9.00,N/A,N/A,21.54,515.71M
"ACIA",48.85,44.18,45.20,N/A,N/A,58.07,1.89B
"ACTG",4.55,4.50,4.50,N/A,N/A,6.92,230.17M
"ACHC",43.70,43.56,43.58,N/A,N/A,51.53,3.84B
"ACAD",28.01,27.85,27.99,N/A,N/A,43.00,3.42B
"ACST",1.23,1.24,1.25,N/A,N/A,7.33,13.18M
"AXDX",28.40,27.85,27.90,N/A,N/A,31.67,1.48B
"ACCP",N/A,N/A,N/A,N/A,N/A,7.00,N/A
"ACCPW",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"XLRN",25.41,25.56,25.77,N/A,N/A,42.29,981.26M
"ANCX",28.37,27.73,28.00,N/A,N/A,30.60,576.08M
"ARAY",4.05,4.00,4.00,N/A,N/A,6.25,336.15M
"ACRX",2.60,2.65,2.65,N/A,N/A,7.75,117.99M
"ACET",14.78,14.30,14.34,N/A,N/A,18.67,444.88M
"AKAO",25.18,24.71,24.89,N/A,N/A,29.14,902.78M
"ACHN",4.15,4.27,4.25,N/A,N/A,6.75,567.40M
"ACIW",22.87,22.50,22.53,N/A,N/A,24.80,2.70B
"ACRS",24.81,24.85,24.96,N/A,N/A,41.20,663.25M
"ACNB",29.15,29.50,29.60,N/A,N/A,N/A,176.85M
"ACOR",15.30,15.25,15.20,N/A,N/A,26.38,715.40M
"SQZZ",25.112,24.940,N/A,N/A,N/A,N/A,N/A
"ATVI",57.12,55.88,56.20,N/A,N/A,58.65,43.05B
"ACTA",14.00,13.95,14.05,N/A,N/A,16.67,445.35M
"ACXM",25.90,25.77,25.83,N/A,N/A,33.40,2.02B
"ADMS",15.80,14.98,14.99,N/A,N/A,32.50,353.27M
